诊断名,诊断码
伸拇长肌腱损伤后遗症,T92.500x008
伸指肌腱损伤后遗症,T92.500x009
手部肌腱挛缩后遗症,T92.500x010
手部肌腱损伤后遗症,T92.500x011
上肢肌腱粘连后遗症,T92.500x012
指伸肌腱粘连后遗症,T92.500x013
手部肌肉损伤后遗症,T92.500x014
指屈肌腱粘连后遗症,T92.500x015
肩袖损伤后遗症,T92.500x016
上肢肌肉损伤后遗症,T92.500x017
上肢肌腱损伤后遗症,T92.500x018
陈旧性上肢肌腱断裂,T92.501
陈旧性上肢肌肉撕裂,T92.502
创伤后手指屈曲畸形,T92.503
陈旧性腕关节肌腱损伤,T92.504
陈旧性肱二头肌肌肉损伤,T92.505
陈旧性肱二头肌建损伤,T92.506
上肢挤压伤和创伤性切断后遗症,T92.600
创伤性手指缺如,T92.600x002
创伤性上肢骨缺损,T92.600x003
陈旧性上肢挤压伤,T92.601
创伤性上肢切断后遗症,T92.602
陈旧性手压伤,T92.603
上肢其他特指损伤的后遗症,T92.800
上肢血管损伤后遗症,T92.800x001
陈旧性肩关节SLAP损伤,T92.800x002
手其他损伤后遗症,T92.801
上肢损伤的后遗症,T92.900
下肢开放性伤口后遗症,T93.000
陈旧性开放性下肢损伤,T93.001
股骨骨折后遗症,T93.100
陈旧性股骨头骨折,T93.100x007
陈旧性股骨骨折,T93.101
陈旧性股骨颈骨折,T93.102
陈旧性股骨干骨折,T93.103
陈旧性股骨粗隆间骨折,T93.104
下肢其他骨折的后遗症,T93.200
陈旧性距骨骨折,T93.200x001
陈旧性胫骨平台骨折,T93.200x002
陈旧性双踝骨折,T93.200x007
陈旧性胫腓骨骨折,T93.200x008
陈旧性跟骨骨折,T93.200x010
陈旧性Pilon骨折,T93.200x011
陈旧性跗骨骨折,T93.200x012
陈旧性趾骨骨折,T93.200x013
陈旧性跖骨骨折,T93.200x014
陈旧性下肢骨折,T93.201
陈旧性髌骨骨折,T93.202
陈旧性胫骨骨折,T93.203
陈旧性髁突骨折,T93.204
陈旧性腓骨骨折,T93.205
陈旧性踝关节骨折,T93.206
陈旧性踝骨骨折,T93.207
陈旧性足舟骨骨折,T93.208
下肢脱位、扭伤和劳损后遗症,T93.300
下肢脱位后遗症,T93.300x001
下肢扭伤后遗症,T93.300x002
下肢劳损后遗症,T93.300x003
陈旧性趾间关节脱位,T93.300x005
陈旧性足舟骨脱位,T93.300x008
陈旧性跖趾关节脱位,T93.300x009
陈旧性髌骨脱位,T93.301
下肢神经损伤后遗症,T93.400
坐骨神经损伤后遗症,T93.400x002
股神经损伤后遗症,T93.400x003
腓总神经损伤后遗症,T93.400x004
胫神经损伤后遗症,T93.400x005
腓肠神经损伤后遗症,T93.400x006
下肢肌肉和肌腱损伤后遗症,T93.500
下肢肌肉损伤后遗症,T93.500x001
下肢肌腱损伤后遗症,T93.500x002
跟腱断裂后遗症,T93.501
下肢挤压伤和创伤性切断后遗症,T93.600
创伤性下肢骨缺损,T93.600x001
陈旧性下肢挤压伤,T93.600x002
创伤性下肢切断后遗症,T93.600x003
下肢其他特指损伤的后遗症,T93.800
趾浅表挫伤后遗症,T93.800x001
下肢创伤性动静脉瘘后遗症,T93.800x002
下肢血管损伤后遗症,T93.800x003
陈旧性趾挫伤,T93.801
下肢损伤的后遗症,T93.900
涉及多个身体部位损伤的后遗症,T94.000
陈旧性多处身体部位损伤,T94.001
陈旧性多部位骨折,T94.002
损伤后遗症,T94.100
陈旧性损伤,T94.102
头和颈烧伤、腐蚀伤和冻伤后遗症,T95.000
外耳道烧伤后遗症,T95.000x001
外耳道冻伤后遗症,T95.000x002
外耳道腐蚀伤后遗症,T95.000x003
头和颈烧伤后遗症,T95.000x004
头部烧伤后遗症,T95.000x005
颈部烧伤后遗症,T95.000x006
头和颈冻伤后遗症,T95.000x007
头部冻伤后遗症,T95.000x008
颈部冻伤后遗症,T95.000x009
头和颈腐蚀伤后遗症,T95.000x010
头部腐蚀伤后遗症,T95.000x011
颈部腐蚀伤后遗症,T95.000x012
陈旧性耳化学烧伤,T95.001
陈旧性外耳道烧伤,T95.002
躯干烧伤、腐蚀伤和冻伤后遗症,T95.100
躯干烧伤后遗症,T95.100x001
躯干冻伤后遗症,T95.100x002
躯干腐蚀伤后遗症,T95.100x003
陈旧性躯干烧伤,T95.101
陈旧性躯干化学性烧伤,T95.102
陈旧性躯干冻伤,T95.103
上肢烧伤、腐蚀伤和冻伤后遗症,T95.200
上肢烧伤后遗症,T95.200x001
手部烧伤后遗症,T95.200x002
上肢冻伤后遗症,T95.200x003
手部冻伤后遗症,T95.200x004
上肢腐蚀伤后遗症,T95.200x005
手部腐蚀伤后遗症,T95.200x006
陈旧性上肢烧伤,T95.201
陈旧性手烧伤,T95.202
下肢烧伤、腐蚀伤和冻伤后遗症,T95.300
下肢烧伤后遗症,T95.300x001
下肢冻伤后遗症,T95.300x002
下肢腐蚀伤后遗症,T95.300x003
陈旧性下肢烧伤,T95.301
仅根据涉及体表范围分类的烧伤和腐蚀伤后遗症,T95.400
烧伤、腐蚀伤和冻伤后遗症，其他特指的,T95.800
眼部烧伤后遗症,T95.800x001
眼部冻伤后遗症,T95.800x002
眼部腐蚀伤后遗症,T95.800x003
上肢和下肢烧伤后遗症,T95.800x004
上肢和下肢冻伤后遗症,T95.800x005
上肢和下肢腐蚀伤后遗症,T95.800x006
食管烧伤后遗症,T95.800x007
食管腐蚀伤后遗症,T95.800x008
陈旧性眼烧伤,T95.801
陈旧性四肢烧伤,T95.802
陈旧性食管烧伤,T95.803
烧伤、腐蚀伤和冻伤后遗症,T95.900
药物、药剂和生物制品中毒后遗症,T96.x00
药物中毒后遗症,T96.x00x001
药剂中毒后遗症,T96.x00x002
生物制品中毒后遗症,T96.x00x003
主要为非药用物质毒性效应的后遗症,T97.x00
非药用物质毒性效应的后遗症,T97.x00x001
中毒性脑病后遗症,T97.x00x003
一氧化碳中毒后遗症,T97.x01
非药用物质中毒性脑病后遗症,T97.x02
通过自然腔口进入的异物效应的后遗症,T98.000
外因的其他和未特指效应的后遗症,T98.100
电击伤后遗症,T98.100x001
创伤的某些早期并发症的后遗症,T98.200
开放性损伤伴异物,T98.200x011
开放性损伤伴异物合并感染,T98.200x012
开放性损伤伴感染,T98.200x021
开放性损伤延期愈合,T98.200x031
开放性损伤延期治疗,T98.200x032
开放性损伤愈合不良,T98.200x033
手术和医疗并发症的后遗症，不可归类在他处者,T98.300
闸门综合征,T98.300x001
眼植入物暴露的后遗症,T98.300x002
手术后坐骨神经损伤的后遗症,T98.300x003
手术后心脏异物残留的后遗症,T98.300x004
人工耳蜗植入后电极脱出的后遗症,T98.300x005
手术后颌骨异物残留的后遗症,T98.300x006
手术后缺氧性脑损害的后遗症,T98.300x007
陈旧性手术后缺氧性脑损害,T98.301
严重急性呼吸道综合征,U04.900
蒸汽所致疾病,U07.000
2019冠状病毒病,U07.100
新型冠状病毒肺炎,U07.100x001
新型冠状病毒感染,U07.100x002
新型冠状病毒肺炎临床诊断病例,U07.100x003
耐青霉素,U82.000
耐阿莫西林抗生素,U82.001
耐氨苄西林抗生素,U82.002
耐甲氧西林抗生素,U82.100
耐甲氧西林金黄色葡萄球菌（MRSA）,U82.100x001
耐氯唑西林抗生素,U82.101
耐氟氯西林抗生素,U82.102
耐苯唑西林抗生素,U82.103
耐广谱β-内酰胺酶,U82.200
产超广谱β-内酰胺酶肺炎克雷伯菌（ESBLs）,U82.200x001
产超广谱β-内酰胺酶大肠埃希菌（ESBLs）,U82.200x002
耐其他β-内酰胺类抗生素,U82.800
耐碳青霉烯类的鲍曼不动杆菌（CRAB）,U82.800x001
耐碳青霉烯类的铜绿假单胞菌（CRPA）,U82.800x002
耐碳青霉烯类的肠杆菌科菌（CRE）,U82.800x003
耐β-内酰胺类抗生素，未特指,U82.900
耐万古霉素,U83.000
耐万古霉素肠球菌（VRE）,U83.000x001
耐其他万古霉素相关类抗生素,U83.100
耐喹诺酮类抗生素,U83.200
耐多种抗生素,U83.700
耐其他特指单一抗生素,U83.800
耐其他抗生素的菌株,U83.900
耐抗寄生虫药物,U84.000
耐抗真菌药物,U84.100
耐抗病毒药物,U84.200
耐抗结核药物,U84.300
耐多种抗菌药物,U84.700
耐其他特指抗菌药物,U84.800
耐抗菌药物,U84.900
药物抵抗,U84.901
耐抗肿瘤药物,U85.x00
抗肿瘤药物无效,U85.x01
难治性癌症,U85.x02
行人在与脚踏车碰撞中的损伤,V01.x00
行人在与两轮或三轮摩托车碰撞中的损伤,V02.x00
行人在与小汽车、轻型货车或篷车碰撞中的损伤,V03.x00
行人在与重型运输车或公共汽车碰撞中的损伤,V04.x00
行人在与火车或铁路车辆碰撞中的损伤,V05.x00
行人在与其他非机动车辆碰撞中的损伤,V06.x00
行人在涉及其他和未特指指机动车辆的非交通事故中的损伤,V09.000
行人在非交通事故中的损伤,V09.100
行人在涉及其他和未特指机动车辆的交通事故中的损伤,V09.200
机动车辆与行人碰撞的交通事故,V09.200x091
行人被机动车辆碰撞的交通事故,V09.200x092
行人在交通事故中的损伤,V09.300
行人在运输事故中的损伤,V09.900
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤,V10.x00
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤,V11.x00
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤,V12.x00
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤,V13.x00
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤,V14.x00
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤,V15.x00
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤,V16.x00
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤,V17.x00
骑脚踏车人员在非碰撞性运输事故中的损伤,V18.x00
非交通事故中脚踏车与其他机动车辆碰撞造成骑脚踏车人员的损伤,V19.000
非交通事故中脚踏车与其他的机动车辆碰撞造成乘脚踏车人员的损伤,V19.100
非交通事故中脚踏车与其他机动车辆碰撞造成的骑脚踏车人员的损伤,V19.200
骑脚踏车人员在非交通事故中的损伤,V19.300
交通事故中脚踏车与其他和未特指机动车辆碰撞造成骑脚踏车人员的损伤,V19.400
交通事故中脚踏车与其他机动车辆碰撞造成乘脚踏车人员的损伤,V19.500
交通事故中脚踏车与其他和未特指机动车辆碰撞造成骑不明确的脚踏车司、乘人员损伤,V19.600
骑脚踏车人员在其他特指的运输事故中的损伤,V19.800
骑脚踏车人员在交通事故中的损伤,V19.900
自行车的事故,V19.900x091
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤,V20.x00
骑摩托车人员在摩托车与脚踏车碰撞中的损伤,V21.x00
骑摩托车人员在摩托车与两轮或三轮机动车碰撞中的损伤,V22.x00
骑摩托车人员在摩托车与小汽车、轻型货车或篷车碰撞中的损伤,V23.x00
骑摩托车人员在摩托车与重型运输车或公共汽车碰撞中的损伤,V24.x00
骑摩托车人员在摩托车与火车或铁路车辆碰撞中的损伤,V25.x00
骑摩托车人员在摩托车与其他非机动车辆碰撞中的损伤,V26.x00
骑摩托车人员在摩托车与固定或静止物体碰撞中的损伤,V27.x00
骑摩托车人员在非碰撞性运输事故中的损伤,V28.x00
非交通事故中摩托车与其他机动车辆碰撞造成骑摩托车人员的损伤,V29.000
非交通事故中摩托车与其他的机动车辆碰撞造成乘摩托车人员的损伤,V29.100
非交通事故中摩托车与其他的机动车辆碰撞造成骑摩托车人员的损伤,V29.200
骑摩托车人员在非交通事故中的损伤,V29.300
交通事故中摩托车与其他和未特指机动车辆碰撞造成骑摩托车人员的损伤,V29.400
交通事故中摩托车与其他和未特指机动车辆碰撞造成乘摩托车人员的损伤,V29.500
交通事故中摩托车与其他机动车辆碰撞造成的和未特指骑摩托车人员的损伤,V29.600
骑摩托车人员在其他特指的运输事故中的损伤,V29.800
骑摩托车人员在交通事故中的损伤,V29.900
摩托车的事故,V29.900x091
三轮机动车乘员在三轮机动车与行人或牲畜碰撞中的损伤,V30.x00
三轮机动车乘员在三轮机动车与脚踏车碰撞中的损伤,V31.x00
三轮机动车乘员在三轮机动车与两轮或三轮机动车碰撞中的损伤,V32.x00
三轮机动车乘员在三轮机动车与小汽车、轻型货车或篷车碰撞中的损伤,V33.x00
三轮机动车乘员在三轮机动车与重型运输车或公共汽车碰撞中的损伤,V34.x00
三轮机动车乘员在三轮机动车与火车或铁路车辆碰撞中的损伤,V35.x00
三轮机动车乘员在三轮机动车与其他非机动车辆碰撞中的损伤,V36.x00
三轮机动车乘员在三轮机动车与固定或静止物体碰撞中的损伤,V37.x00
三轮机动车乘员在非碰撞性运输事故中的损伤,V38.x00
非交通事故中三轮机动车与其他机动车辆碰撞造成三轮机动车司机的损伤,V39.000
非交通事故中三轮机动车与其他机动车辆碰撞造成三轮机动车乘客的损伤,V39.100
非交通事故中三轮机动车与其他机动车辆碰撞造成的三轮机动车乘员的损伤,V39.200
三轮机动车乘员在非交通事故中的损伤,V39.300
交通事故中三轮机动车与其他和未特指机动车辆碰撞造成三轮机动车司机的损伤,V39.400
交通事故中三轮机动车与其他和未特指机动车辆碰撞造成三轮机动车乘客的损伤,V39.500
交通事故中三轮机动车与其他和未特指机动车辆碰撞造成的三轮机动车乘员的损伤,V39.600
三轮机动车乘员在其他特指运输事故中的损伤,V39.800
三轮机动车乘员在交通事故中的损伤,V39.900
三轮机动车的事故,V39.900x091
小汽车乘员在小汽车与行人或牲畜碰撞中的损伤,V40.x00
小汽车乘员在小汽车与脚踏车碰撞中的损伤,V41.x00
小汽车乘员在小汽车与两轮或三轮机动车碰撞中的损伤,V42.x00
小汽车乘员在小汽车与小汽车、轻型货车或篷车碰撞中的损伤,V43.x00
小汽车乘员在小汽车与重型运输车或公共汽车碰撞中的损伤,V44.x00
小汽车乘员在小汽车与火车或铁路车辆碰撞中的损伤,V45.x00
小汽车乘员在小汽车与其他非机动车辆碰撞中的损伤,V46.x00
小汽车乘员在小汽车与固定或静止物体碰撞中的损伤,V47.x00
小汽车乘员在非碰撞性运输事故中的损伤,V48.x00
非交通事故中小汽车与其他机动车辆碰撞造成小汽车司机的损伤,V49.000
非交通事故中小汽车与其他机动车辆碰撞造成小汽车乘客的损伤,V49.100
非交通事故中小汽车与其他机动车辆碰撞造成的小汽车乘员的损伤,V49.200
小汽车乘员在非交通事故中的损伤,V49.300
交通事故中小汽车与其他机动车辆碰撞造成小汽车司机损伤,V49.400
交通事故中小汽车与其他机动车辆碰撞造成小汽车乘客的损伤,V49.500
交通事故中小汽车与其他和未特指机动车辆碰撞造成的小汽车乘员的损伤,V49.600
小汽车乘员在其他特指运输事故中的损伤,V49.800
小汽车乘员在交通事故中的损伤,V49.900
小汽车的事故,V49.900x091
轻型货车或篷车乘员在轻型货车或篷车与行人或牲畜碰撞中的损伤,V50.x00
轻型货车或篷车乘员在轻型货车或篷车与脚踏车碰撞中的损伤,V51.x00
轻型货车或篷车乘员在轻型货车或篷车与两轮或三轮机动车碰撞中的损伤,V52.x00
轻型货车或篷车乘员在轻型货车或篷车与小汽车、轻型货车或篷车碰撞中的损伤,V53.x00
轻型货车或篷车乘员在轻型货车或篷车与重型运输车或公共汽车碰撞中的损伤,V54.x00
轻型货车或篷车乘员在轻型货车或篷车与火车或铁路车辆碰撞中的损伤,V55.x00
轻型货车或篷车乘员在轻型货车或篷车与其他非机动车辆碰撞中的损伤,V56.x00
轻型货车或篷车乘员在轻型货车或篷车与固定或静止物体碰撞中的损伤,V57.x00
轻型货车或篷车乘员在非碰撞性运输事故中的损伤,V58.x00
非交通事故中轻型货车或篷车与其他机动车辆碰撞造成轻型货车或篷车司机的损伤,V59.000
非交通事故中轻型货车或篷车与其他机动车辆碰撞造成轻型货车或篷车乘客的损伤,V59.100
非交通事故中轻型货车或篷车与其他机动车辆碰撞造成的轻型货车或篷车乘员的损伤,V59.200
轻型货车或篷车乘员在非交通事故中的损伤,V59.300
交通事故中轻型货车或篷车与其他和未特指机动车辆碰撞造成轻型货车或篷车司机的损伤,V59.400
交通事故中轻型货车或篷车与其他和未特指机动车辆碰撞造成轻型货车或篷车乘客的损伤,V59.500
交通事故中轻型货车或篷车与其他和未特指机动车辆碰撞造成和未特指的轻型货车或篷车乘员的损伤,V59.600
轻型货车或篷车乘员在其他特指运输事故中的损伤,V59.800
轻型货车或篷车乘员在交通事故中的损伤,V59.900
轻型货车或篷车事故,V59.900x091
重型运输车乘员在重型运输车与行人或牲畜碰撞中的损伤,V60.x00
重型运输车乘员在重型运输车与脚踏车碰撞中的损伤,V61.x00
重型运输车乘员在重型运输车与两轮或三轮机动车碰撞中的损伤,V62.x00
重型运输车乘员在重型运输车与小汽车、轻型货车或篷车碰撞中的损伤,V63.x00
重型运输车乘员在重型运输车与重型运输车或公共汽车碰撞中的损伤,V64.x00
重型运输车乘员在重型运输车与火车或铁路车辆碰撞中的损伤,V65.x00
重型运输车乘员在重型运输车与其他非机动车辆碰撞中的损伤,V66.x00
重型运输车乘员在重型运输车与固定或静止物体碰撞中的损伤,V67.x00
重型运输车乘员在非碰撞性运输事故中的损伤,V68.x00
非交通事故中重型运输车与其他机动车辆碰撞造成重型运输车司机的损伤,V69.000
非交通事故中重型运输车与其他机动车辆碰撞造成重型运输车乘客的损伤,V69.100
非交通事故中重型运输车与其他机动车辆碰撞造成的重型运输车乘员的损伤,V69.200
重型运输车乘员在非交通事故中的损伤,V69.300
交通事故中重型运输车与其他机动车辆碰撞造成重型运输车司机的损伤,V69.400
交通事故中重型运输车与其他机动车辆碰撞造成重型运输车乘客的损伤,V69.500
交通事故中重型运输车与其他和机动车辆碰撞造成重型运输车乘员的损伤,V69.600
重型运输车乘员在其他特指运输事故中的损伤,V69.800
重型运输车乘员在交通事故中的损伤,V69.900
公共汽车乘员在公共汽车与行人或牲畜碰撞中的损伤,V70.x00
公共汽车乘员在公共汽车与脚踏车碰撞中的损伤,V71.x00
公共汽车乘员在公共汽车与两轮或三轮机动车碰撞中的损伤,V72.x00
公共汽车乘员在公共汽车与小汽车、轻型货车或篷车碰撞中的损伤,V73.x00
公共汽车乘员在公共汽车与重型运输车或公共汽车碰撞中的损伤,V74.x00
公共汽车乘员在公共汽车与火车或铁路车辆碰撞中的损伤,V75.x00
公共汽车乘员在公共汽车与其他非机动车辆碰撞中的损伤,V76.x00
公共汽车乘员在公共汽车与固定或静止物体碰撞中的损伤,V77.x00
公共汽车乘员在非碰撞性运输事故中的损伤,V78.x00
非交通事故中公共汽车与其他机动车辆碰撞造成公共汽车司机的损伤,V79.000
非交通事故中公共汽车与其他机动车辆碰撞造成公共汽车乘客的损伤,V79.100
非交通事故中公共汽车与其他机动车辆碰撞造成的公共汽车乘员的损伤,V79.200
公共汽车乘员在非交通事故中的损伤,V79.300
交通事故中公共汽车与其他机动车辆碰撞造成公共汽车司机的损伤,V79.400
交通事故中公共汽车与其他机动车辆碰撞造成公共汽车乘客的损伤,V79.500
交通事故中公共汽车与其他机动车辆碰撞造成公共汽车乘员的损伤,V79.600
公共汽车乘员在其他特指运输事故中的损伤,V79.800
公共汽车乘员在交通事故中的损伤,V79.900
公共汽车的事故,V79.900x091
在非碰撞性事故中骑手或乘员从牲畜或畜挽车辆上跌落或抛出,V80.000
骑手跌落,V80.000x091
骑手或乘员在与行人或牲畜碰撞中的损伤,V80.100
骑手或乘员在与脚踏车碰撞中的损伤,V80.200
骑手或乘员在与两轮或三轮机动车碰撞中的损伤,V80.300
骑手或乘员在与小汽车、轻型货车、篷车、重型运输车或公共汽车碰撞的损伤,V80.400
骑手或乘员在与其他特指的机动车辆碰撞中的损伤,V80.500
骑手或乘员在与火车或铁路车辆碰撞中的损伤,V80.600
骑手或乘员在与其他非机动车辆碰撞中的损伤,V80.700
骑手或乘员与（市内有轨）电车的碰撞,V80.700x091
骑手或乘员与畜挽车辆的碰撞,V80.700x092
骑手或乘员与被驱赶的牲畜的碰撞,V80.700x093
骑手或乘员在与固定或静止物体碰撞中的损伤,V80.800
骑手或乘员在其他和未特指的运输事故中的损伤,V80.900
畜挽车辆的事故,V80.900x091
非交通事故中因与机动车辆碰撞造成火车或铁路车辆乘员的损伤,V81.000
交通事故中因与机动车辆碰撞造成火车或铁路车辆乘员的损伤,V81.100
火车与机动车辆碰撞的交通事故,V81.100x091
因与铁路列车碰撞或被铁路车辆撞击造成火车或铁路车辆乘员的损伤,V81.200
铁路上列车碰撞事故,V81.200x091
因与其他物体碰撞造成火车或铁路车辆乘员的损伤,V81.300
在上下火车或铁路车辆时的人员损伤,V81.400
火车或铁路车辆乘员在火车或铁路车辆上跌倒造成的损伤,V81.500
火车或铁路车辆乘员从火车或铁路车辆上跌落造成的损伤,V81.600
不伴有事先碰撞而出轨造成的火车或铁路车辆乘员的损伤,V81.700
铁路事故中火车或铁路车辆乘员的损伤，其他特指的,V81.800
火车或铁路车辆乘员被落下的树击中,V81.800x091
火车或铁路车辆乘员被落下的石块击中,V81.800x092
火车或铁路车辆乘员被落下的土块击中,V81.800x093
铁路事故中火车或铁路车辆乘员的损伤,V81.900
非交通事故中因与机动车辆碰撞造成（市内有轨）电车乘员的损伤,V82.000
交通事故中因与机动车辆碰撞造成（市内有轨）电车乘员的损伤,V82.100
因与车辆碰撞或被车辆撞击造成（市内有轨）电车乘员的损伤,V82.200
因与其他物体碰撞造成（市内有轨）电车乘员的损伤,V82.300
在上下（市内有轨）电车时的人员损伤,V82.400
市内有轨电车乘员在市内有轨电车上跌倒造成的损伤,V82.500
市内有轨电车乘员从市内有轨电车上跌落造成的损伤,V82.600
不伴有事先碰撞而出轨造成的市内有轨电车乘员的损伤,V82.700
运输事故中（市内有轨）电车乘员的损伤，其他特指的,V82.800
交通事故中（市内有轨）电车乘员的损伤,V82.900
（市内有轨）电车事故,V82.900x091
交通事故中专用工业车辆上的司机的损伤,V83.000
交通事故中专用工业车辆上的乘客的损伤,V83.100
交通事故中专用工业车辆外部人员的损伤,V83.200
交通事故中专用工业车辆上的乘员的损伤,V83.300
在上下专用工业车辆时的人员损伤,V83.400
非交通事故中专用工业车辆上的司机的损伤,V83.500
非交通事故中专用工业车辆上的乘客的损伤,V83.600
非交通事故中专用工业车辆外部人员的损伤,V83.700
非交通事故中专用工业车辆上的乘员的损伤,V83.900
专用工业车辆事故,V83.900x091
交通事故中专用农业车辆上的司机的损伤,V84.000
交通事故中专用农业车辆上的乘客的损伤,V84.100
交通事故中专用农业车辆外部人员的损伤,V84.200
骑摩托车被拖拉机撞伤,V84.200x091
交通事故中专用农业车辆上的乘员的损伤,V84.300
在上下专用农业车辆时的人员损伤,V84.400
非交通事故中专用农业车辆上的司机的损伤,V84.500
非交通事故中专用农业车辆上的乘客的损伤,V84.600
非交通事故中专用农业车辆外部人员的损伤,V84.700
非交通事故中专用农业车辆上的乘员的损伤,V84.900
专用农业车辆事故,V84.900x091
交通事故中专用建筑车辆上的司机的损伤,V85.000
交通事故中专用建筑车辆上的乘客的损伤,V85.100
交通事故中专用建筑车辆外部人员的损伤,V85.200
交通事故中专用建筑车辆上的乘员的损伤,V85.300
在上下专用建筑车辆时的人员损伤,V85.400
非交通事故中专用建筑车辆上的司机的损伤,V85.500
非交通事故中专用建筑车辆上的乘客的损伤,V85.600
非交通事故中专用建筑车辆外部人员的损伤,V85.700
非交通事故中专用建筑车辆上的乘员的损伤,V85.900
专用建筑车辆事故,V85.900x091
交通事故中全地带或其他越野机动车上的司机的损伤,V86.000
交通事故中全地带或其他越野机动车上的乘客的损伤,V86.100
交通事故中全地带或其他越野机动车外部人员的损伤,V86.200
交通事故中全地带或其他越野机动车上的乘员的损伤,V86.300
在上下全地带或其他越野机动车时的人员损伤,V86.400
非交通事故中全地带或其他越野机动车上的司机的损伤,V86.500
非交通事故中全地带或其他越野机动车上的乘客的损伤,V86.600
非交通事故中全地带或其他越野机动车外部人员的损伤,V86.700
涉及其他越野机动车辆的非交通性事故,V86.700x091
非交通事故中全地带或其他越野机动车上的乘员的损伤,V86.900
小汽车和两轮或三轮机动车之间碰撞造成的人员损伤（交通性）,V87.000
机动车辆和两轮或三轮机动车之间碰撞造成的人员损伤（交通性），其他的,V87.100
小汽车和轻型货车或篷车之间碰撞造成的人员损伤（交通性）,V87.200
小汽车和公共汽车之间碰撞造成的人员损伤（交通性）,V87.300
小汽车和重型运输车之间碰撞造成的人员损伤（交通性）,V87.400
重型运输车和公共汽车之间碰撞造成的人员损伤（交通性）,V87.500
火车或铁路车辆和小汽车之间碰撞造成的人员损伤（交通性）,V87.600
机动车辆之间碰撞造成的人员损伤（交通性），其他特指的,V87.700
涉及机动车辆非碰撞性运输事故中的人员损伤（交通性），其他特指的,V87.800
涉及非机动车辆（碰撞性）（非碰撞性）运输事故中的人员损伤（交通性），其他特指的,V87.900
小汽车和两轮或三轮机动车之间碰撞造成的人员损伤，非交通性,V88.000
机动车辆和两轮或三轮机动车之间碰撞造成的人员损伤，非交通性，其他的,V88.100
小汽车和轻型货车或篷车之间碰撞造成的人员损伤，非交通性,V88.200
小汽车和公共汽车之间碰撞造成的人员损伤，非交通性,V88.300
小汽车和重型运输车之间碰撞造成的人员损伤，非交通性,V88.400
重型运输车和公共汽车之间碰撞造成的人员损伤，非交通性,V88.500
火车或铁路车辆和小汽车之间碰撞造成的人员损伤，非交通性,V88.600
机动车辆之间碰撞造成的人员损伤，非交通性，其他特指的,V88.700
涉及机动车辆非碰撞性运输事故中的人员损伤，非交通性，其他特指的,V88.800
涉及非机动车辆（碰撞性）（非碰撞性）运输事故中的人员损伤，非交通性，其他特指的,V88.900
机动车辆事故中的人员损伤，非交通性,V89.000
非机动车辆事故中的人员损伤，非交通性,V89.100
机动车辆事故中的人员损伤，交通性,V89.200
机动车交通事故,V89.200x091
机动车辆失控引起的交通事故,V89.200x092
机动车相撞,V89.200x093
非机动车辆事故中的人员损伤，交通性,V89.300
车辆事故中的人员损伤,V89.900
船舶事故引起的淹溺和沉没,V90.x00
船舶事故引起的其他损伤,V91.x00
与水上运输有关的非船舶事故的淹溺和沉没,V92.x00
非船舶事故的船上事故，未引起淹溺和沉没,V93.x00
水上运输事故，其他的,V94.x00
直升机事故伤及乘员,V95.000
超轻型、轻型或动力滑翔机事故伤及乘员,V95.100
有固定机翼的私人飞机事故伤及乘员，其他的,V95.200
有固定机翼的商用飞机事故伤及乘员,V95.300
航天飞行器事故伤及乘员,V95.400
飞行器事故伤及乘员，其他的,V95.800
飞行器事故伤及乘员,V95.900
飞行器事故,V95.900x091
气球事故伤及乘员,V96.000
悬吊滑翔机事故伤及乘员,V96.100
无动力滑翔机事故伤及乘员,V96.200
无动力飞行器事故伤及乘员，其他的,V96.800
无动力飞行器事故伤及乘员,V96.900
在其他特指空中运输事故中飞行器乘员的损伤,V97.000
在上下飞行器时的人员损伤,V97.100
空中运输事故中跳伞者的损伤,V97.200
空中运输事故中地面人员的损伤,V97.300
"空中运输事故，其他的,不可归类在他处者",V97.800
运输事故，其他特指的,V98.x00
运输事故,V99.x00
在涉及冰和雪的同一平面上跌倒,W00.x00
在同一平面上滑倒、绊倒和摔倒,W01.x00
涉及溜冰、滑雪、溜旱冰或滑板时的跌倒,W02.x00
被别人碰撞或推动引起的在同一平面上的其他跌倒,W03.x00
在被他人运送或搀扶时跌倒,W04.x00
涉及轮椅上的跌落,W05.x00
涉及床上的跌落,W06.x00
涉及椅子上的跌落,W07.x00
涉及其他家具上的跌落,W08.x00
涉及运动场设施上的跌落,W09.x00
在楼梯或台阶上跌倒和跌落,W10.x00
在梯子上跌倒和跌落,W11.x00
在脚手架上跌倒和跌落,W12.x00
从房屋或建筑结构上跌落或跌出,W13.x00
从树上跌落,W14.x00
从悬崖上跌落,W15.x00
潜水或跳水引起的损伤，除外淹溺和沉没,W16.x00
